,Année,Mois,Jour,Heure,Equipe domicile,Equipe exterieure,Vainqueur,Score domicile,Score extérieur,Buteurs,Lieu du match,Journée,Région,Temperature moyenne,Précipitations en mm
266,2021,02,28,T15:00:00+0100,Lorient,Saint-Étienne,domicile,2,1,"['A. Laurienté', 'A. Laurienté', 'H. Moukoudi']",Lorient,27,bretagne,7.5,0
267,2021,02,28,T15:00:00+0100,Nîmes,Nantes,ex-aequo,1,1,"['M. Koné', 'L. Blas']",Nîmes,27,languedoc-roussillon,11.5,4
268,2021,02,28,T17:05:00+0100,Lille,Strasbourg,ex-aequo,1,1,"['J. Fonte', 'L. Ajorque']",Lille,27,nord-pas-de-calais,8.0,0
269,2021,02,28,T21:00:00+0100,Marseille,Lyon,ex-aequo,1,1,"['A. Milik', 'K. Toko Ekambi']",Marseille,27,provence-alpes-c-te-d-azur,13.0,4
270,2021,03,03,T19:00:00+0100,Lyon,Rennes,domicile,1,0,['H. Aouar'],Lyon,28,rh-ne-alpes,12.0,0
271,2021,03,03,T19:00:00+0100,Metz,Angers,exterieur,0,1,['A. Fulgini'],Metz,28,lorraine,9.0,0
272,2021,03,03,T19:00:00+0100,Saint-Étienne,Lens,exterieur,2,3,"['H. Moukoudi', 'D. Bouanga', 'F. Sotoca', 'A. Kalimuendo', 'D. Pereira Da Costa']",Saint-Étienne,28,rh-ne-alpes,9.0,0
273,2021,03,03,T19:00:00+0100,Nice,Nîmes,domicile,2,1,"['A. Gouiri', 'A. Claude-Maurice', 'L. Landre']",Nice,28,provence-alpes-c-te-d-azur,12.0,0
274,2021,03,03,T19:00:00+0100,Brest,Dijon,domicile,3,1,"['F. Honorat', 'S. Mounié', 'I. Cardona', 'R. Assalé']",Brest,28,bretagne,10.5,5
275,2021,03,03,T21:00:00+0100,Lille,Marseille,domicile,2,0,"['J. David', 'J. David']",Lille,28,nord-pas-de-calais,11.0,1
276,2021,03,03,T21:00:00+0100,Bordeaux,Paris-SG,exterieur,0,1,['P. Sarabia'],Bordeaux,28,aquitaine,14.0,0
277,2021,03,03,T21:00:00+0100,Strasbourg,Monaco,domicile,1,0,['F. Guilbert'],Strasbourg,28,alsace,10.0,0
278,2021,03,03,T21:00:00+0100,Montpellier,Lorient,ex-aequo,1,1,"['S. Mavididi', 'A. Grbic']",Montpellier,28,languedoc-roussillon,11.0,0
279,2021,03,03,T21:00:00+0100,Nantes,Reims,exterieur,1,2,"['M. Simon', 'G. Konan', 'Y. Abdelhamid']",Nantes,28,pays-de-la-loire,11.5,3
280,2021,03,12,T21:00:00+0100,Reims,Lyon,ex-aequo,1,1,"['M. Cafaro', 'T. Kadewere']",Reims,29,champagne-ardenne,6.5,3
281,2021,03,13,T13:00:00+0100,Angers,Saint-Étienne,exterieur,0,1,['W. Khazri'],Angers,29,pays-de-la-loire,9.5,7
282,2021,03,13,T17:00:00+0100,Marseille,Brest,domicile,3,1,"['A. Milik', 'F. Thauvin', 'M. Cuisance', 'L. Brassier']",Marseille,29,provence-alpes-c-te-d-azur,11.5,0
283,2021,03,14,T13:00:00+0100,Nîmes,Montpellier,ex-aequo,1,1,"['M. Koné', 'A. Delort']",Nîmes,29,languedoc-roussillon,10.5,0
284,2021,03,14,T15:00:00+0100,Lens,Metz,ex-aequo,2,2,"['J. Clauss', 'Y. Cahuzac', 'V. Dias Goncalves', 'T. Delaine']",Lens,29,nord-pas-de-calais,6.5,2
285,2021,03,14,T15:00:00+0100,Rennes,Strasbourg,domicile,1,0,['B. Bourigeaud'],Rennes,29,bretagne,6.0,1
286,2021,03,14,T15:00:00+0100,Lorient,Nice,ex-aequo,1,1,"['Y. Wissa', 'M. Maolida']",Lorient,29,bretagne,7.5,1
287,2021,03,14,T15:00:00+0100,Dijon,Bordeaux,exterieur,1,3,"['M. Konaté', 'U. Hwang', 'U. Hwang', 'N. De Préville']",Dijon,29,bourgogne,4.5,3
